,precision,recall,f1-score,support
negative,0.8293650793650794,0.836,0.8326693227091634,2000.0
neutral,0.766158696794535,0.729,0.7471176018447349,2000.0
positive,0.8395002402691014,0.8735,0.856162705219309,2000.0
accuracy,0.8128333333333333,0.8128333333333333,0.8128333333333333,0.8128333333333333
macro avg,0.8116746721429052,0.8128333333333333,0.8119832099244024,6000.0
weighted avg,0.8116746721429053,0.8128333333333333,0.8119832099244023,6000.0
