,precision,recall,f1-score,support
negative,0.875,0.42424242424242425,0.5714285714285714,33.0
neutral,0.0,0.0,0.0,33.0
positive,0.3875,0.9393939393939394,0.5486725663716814,33.0
accuracy,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453
macro avg,0.42083333333333334,0.4545454545454546,0.3733670459334176,99.0
weighted avg,0.42083333333333334,0.45454545454545453,0.37336704593341763,99.0
