,precision,recall,f1-score,support
negative,0.7152575315840622,0.736,0.7254805322819122,2000.0
neutral,0.6221910112359551,0.6645,0.6426499032882012,2000.0
positive,0.805094130675526,0.727,0.7640567524960589,2000.0
accuracy,0.7091666666666666,0.7091666666666666,0.7091666666666666,0.7091666666666666
macro avg,0.7141808911651811,0.7091666666666666,0.7107290626887242,6000.0
weighted avg,0.7141808911651812,0.7091666666666666,0.710729062688724,6000.0
